case_id,width,height,blur,n_boxes,classes
110010012032026014011857432,1280,720,1520.0748329980531,4,"[0, 6, 3, 1]"
110010029112025064746646477,899,1599,34.55116675757103,4,"[0, 7, 7, 2]"
110011401122025032219585042,1280,960,1235.5404553241704,4,"[0, 2, 6, 2]"
110011401122025032554427017_page01,1240,1755,742.5165341121922,0,[]
110011401122025032554427017_page02,1240,1755,423.3041072367994,3,"[0, 6, 3]"
110011401122025032617611793,1280,960,892.9275176914824,0,[]
110012612022026121735254644,1200,1600,61.139689030212395,4,"[0, 2, 2, 6]"
110012620012026112009313775,1280,720,6891.6044832310035,1,[0]
110012622012026010349785230,963,1280,75.53925522886142,4,"[0, 1, 8, 7]"
110012622012026010349994237,963,1280,112.1080526286739,0,[]
110012622012026010350228967,720,1280,482.53224283081687,0,[]
110012622012026010350302859,1600,1200,630.2941561766493,0,[]
110013606122025100337210836,1600,900,2250.4725185894436,0,[]
110013607022026053701780059,720,1280,264.18615977011666,2,"[0, 2]"
110013607022026053701883826,1280,720,1901.2938042072144,2,"[0, 3]"
110013607022026053701968985,1280,720,7610.717542294301,0,[]
110013609032026101536202712,705,1600,176.05206824254233,1,[0]
110013609032026101545468724,705,1600,408.65561151319105,4,"[0, 5, 1, 6]"
110013609032026101545497374,705,1600,786.3859264130255,4,"[0, 5, 1, 4]"
110013609032026101644308361,705,1600,165.4579779960735,0,[]
110013609032026101644821371,705,1600,378.6182568092652,0,[]
110013612032026034801576464,960,1280,5269.394917151291,1,[0]
110013612032026034801626229,1280,960,5534.122966745243,2,"[0, 6]"
110013612032026034801631753,960,1280,8236.76120151705,3,"[0, 6, 6]"
110013612092025033554496819,720,1280,835.9010128665077,0,[]
110013612092025033626109382,864,1152,53.67158764619428,4,"[0, 7, 5, 1]"
110013613122025114748461334,900,1600,178.52819078020786,4,"[0, 7, 5, 1]"
110013613122025114809467084,1600,900,3180.8860096925855,1,[0]
110013613122025114953764086,900,1600,409.45939729322487,0,[]
110013613122025114954342104,900,1600,2121.9391969666353,1,[0]
110013613122025115044472977,900,1600,253.85022082907213,0,[]
110013613122025120725822810,1600,1200,112.21416975805556,4,"[0, 2, 5, 8]"
110013613122025120726329965,1600,1200,131.00629101326388,4,"[0, 4, 1, 4]"
110013613122025120726335373,1600,1200,260.6607443204416,0,[]
110013614032026024714023522,899,1599,29.23392746384178,4,"[0, 8, 7, 5]"
110013614032026024714076764,899,1599,2064.653743616362,1,[0]
110013614032026024714103710,1599,899,1650.719397967302,3,"[0, 6, 5]"
110013617122025033602649771,720,1280,1304.386646565077,3,"[0, 7, 3]"
110013617122025033602700987,900,1600,128.7168904635759,4,"[0, 6, 5, 5]"
110013617122025033603577497,900,1600,1184.2754285424692,0,[]
110013617122025033603888848,1600,900,2106.1823179952735,3,"[0, 8, 7]"
110013619072025013213882953,1600,729,787.943990906898,4,"[0, 6, 6, 3]"
110013619072025013235332260,1600,729,196.41548746665242,4,"[0, 5, 1, 2]"
110013622012026051805804079,1280,583,594.5244755855422,0,[]
110013622012026051805879523,583,1280,1422.394729481587,0,[]
110013622012026051805881664,583,1280,1569.9166982715326,1,[0]
110013622012026051805941944,729,1600,1571.0332361993587,2,"[0, 7]"
110013626112025012511236095,1152,864,139.07550167747814,0,[]
110013626112025012521252999,864,1152,2837.4956403796746,1,[0]
110014101102025114237819703,900,1600,2358.6711520366894,1,[0]
110014101102025114320289365,900,1600,1282.0842233498765,3,"[0, 3, 6]"
110014101102025114327592946,1920,1440,838.2567289945437,0,[]
110014101102025114335417151,900,1600,2762.6483150573995,2,"[0, 8]"
110014105022026045631813642,1600,1200,657.0630892044172,4,"[0, 1, 1, 5]"
110014105022026045714650328,1280,720,2991.8053232392194,2,"[0, 8]"
110014105022026045907628190,1600,1200,611.1485539760373,4,"[0, 4, 8, 2]"
110014105022026045942576126,800,450,1038.3393095638196,1,[0]
110014105022026050055071597,1600,1200,317.41450667219806,0,[]
110014105022026050304939637,1200,1600,721.6698534241469,0,[]
110014109022026014701266823,1920,1440,462.12196714400915,4,"[0, 1, 4, 1]"
110014109022026014710392473,800,600,5102.87786396819,3,"[0, 2, 6]"
110014110102025111654385587,1443,1920,6636.346550938145,1,[0]
110014110102025111707848500,960,1280,323.75043692251774,0,[]
110014110102025111811837501,1440,1920,9044.776383225226,4,"[0, 6, 4, 6]"
110014110102025111915723675,1440,1920,1182.1291319962781,4,"[0, 3, 4, 7]"
110014112032026100122259809,450,800,398.0034329540432,4,"[0, 5, 4, 2]"
110014112032026100140952870,1920,1080,2239.111727230272,1,[0]
110014112032026100146920667,1080,1920,1208.0989181241741,3,"[0, 3, 3]"
110014112082025013333960712,770,1240,419.69025280585697,4,"[0, 1, 3, 5]"
110014112082025033219956146,1280,720,445.69063132448434,4,"[0, 8, 6, 6]"
110014113012026030422258871,899,1599,26.73127531671119,4,"[0, 8, 5, 2]"
110014113012026030444865694,899,1599,567.6323829775415,4,"[0, 2, 5, 7]"
110014113012026030450690635,450,800,663.6974902620292,0,[]
110014113012026030455477719,1599,899,157.66495872905435,4,"[0, 1, 3, 8]"
110014116122025021917319897,1920,1080,3432.06577690972,1,[0]
110014116122025021935316111,1080,1920,2830.078296452313,0,[]
110014116122025021942265227,1080,1920,5675.998306310705,1,[0]
110014118112025023629041193,721,1600,581.9599881507271,0,[]
110014118112025023712095621,721,1600,328.96755774073154,4,"[0, 4, 3, 6]"
110014118112025023717158574,721,1600,430.5550244266726,0,[]
110014118112025023721880272,721,1600,257.0288435367257,4,"[0, 7, 5, 5]"
110014119032026012451674161,899,1599,58.916031100617154,0,[]
110014119082025061457174783,450,800,453.217710894321,0,[]
110014119082025061608443348,450,800,466.9347272877778,0,[]
110016802122025020447078328,900,1600,935.7408895441623,4,"[0, 1, 7, 6]"
110016802122025020506892667,900,1600,118.20909089773873,0,[]
110016802122025020531023262,1600,900,2676.9152085154324,1,[0]
110016803042026024334606273,1600,717,1028.3582062757305,4,"[0, 8, 1, 8]"
110016803042026024419562313,1388,794,126.85950117851745,4,"[0, 2, 6, 5]"
110016803042026025729037990,716,1600,74.46797485886003,2,"[0, 3]"
110016803042026030238482356,738,1600,121.18399239099017,4,"[0, 8, 2, 3]"
110016805022026121844205655,1600,1200,101.17287499622289,0,[]
110016805022026123605330765,738,1600,226.55672663628602,4,"[0, 8, 1, 2]"
110016805022026123625473629,1600,738,819.5289868050392,4,"[0, 1, 1, 5]"
110016805022026124208620257,1536,1536,215.51339921791143,2,"[0, 8]"
110016805022026124237949995,1536,1536,848.9598347869194,3,"[0, 7, 8]"
110016805022026124541023791,1600,1200,488.3529406222873,4,"[0, 6, 2, 7]"
110016805022026124558079696,738,1600,42.978712712314724,4,"[0, 1, 3, 8]"
110016813122025012158684933,720,1280,102.68100143619114,0,[]
110016813122025012350280188,540,1206,547.5263126711166,4,"[0, 8, 2, 3]"
110016813122025012556502944,720,1280,140.46531245384216,4,"[0, 6, 2, 4]"
110016813122025012621163370,901,1280,830.9230658442152,3,"[0, 1, 8]"
110016813122025012914051972,939,1280,69.65559019264971,4,"[0, 5, 4, 2]"
110016817012026010952193465,591,1280,40.76099195169612,4,"[0, 4, 4, 2]"
110016817012026011013188159,591,1280,1358.4823387609285,4,"[0, 2, 2, 4]"
110016820082025045412005610,1920,886,1051.4890159935705,4,"[0, 8, 3, 3]"
110016820082025045513546691,1920,886,100.28767210100156,4,"[0, 7, 6, 7]"
110016820082025045534435393_page01,1240,1755,7399.073970223136,2,"[0, 7]"
110016820082025045534435393_page02,1240,1755,6305.9647615107015,2,"[0, 7]"
110016820112025035142940419,720,1280,239.3215027347129,4,"[0, 2, 5, 4]"
110016820112025035307202362,1280,720,2161.6936970296038,0,[]
110016820112025040014359567,720,1280,633.622569999411,4,"[0, 2, 6, 7]"
110016820112025040033089413,720,1280,1560.7447050871483,0,[]
110016820112025040313062009,720,1280,11737.178772639052,4,"[0, 6, 2, 6]"
110016820112025041247452563,1600,716,831.3180915666029,4,"[0, 4, 6, 4]"
110016820112025041308006561,717,1600,1568.7698839707161,1,[0]
110016820112025041326315773,1600,717,2239.950162789717,1,[0]
110016821112025061013089465,1920,886,757.6887848879909,4,"[0, 2, 7, 8]"
110016821112025061044416258,886,1920,939.3920990043262,4,"[0, 5, 5, 4]"
110016825032026052040529203,591,1280,188.1835447988824,0,[]
110016825032026052453891116,886,1920,421.5884235087941,4,"[0, 8, 8, 3]"
110016825032026053900406080,1599,899,175.4693512723849,0,[]
110016825032026054007215737,738,1600,514.5722237796501,4,"[0, 1, 5, 2]"
110016825032026055055502642,738,1600,171.54790387114107,4,"[0, 7, 6, 1]"
110016827032026025337895509,738,1600,38.99846177856257,4,"[0, 5, 1, 2]"
110016827032026030632100344,738,1600,83.99232539024342,4,"[0, 7, 6, 4]"
110016827032026031159521938,1600,738,1706.0101111614995,1,[0]
110016827032026032059495098,1600,738,2088.870485522398,1,[0]
110016827032026032844181484,1600,738,2730.007291739374,1,[0]
110017808012026011050915886,1280,960,530.7905051074022,4,"[0, 3, 6, 2]"
110017808012026011050915898,1280,963,336.2032396715196,0,[]
110017816102025030148036272,1020,765,696.3160462805319,4,"[0, 3, 3, 2]"
110018003122025021032667050_page01,1240,1753,2626.265979979022,0,[]
110018003122025021032826371,650,1156,725.8170992871492,0,[]
110018003122025021032907869,1156,650,1809.9668725021006,4,"[0, 5, 7, 3]"
110018020012026011146012418_page01,1240,1753,2650.869744953352,0,[]
110018020012026011146280173,1600,719,2828.8284224633358,0,[]
110018020012026011146329226,1600,719,5208.855354695428,1,[0]
110018020012026025629940271_page01,1240,1753,3429.2394512632723,4,"[0, 8, 6, 2]"
110018020012026025630442040,1280,720,58.392979135847675,0,[]
110018020012026025631190253,1577,1600,182.10750634097252,0,[]
110018020012026055651034723,1200,1600,978.482316734915,0,[]
110018020012026055815399224,1200,1599,469.9986717033903,3,"[0, 3, 3]"
110018020012026055815605159,1200,1600,933.4633832953448,4,"[0, 1, 2, 4]"
110018020012026060030021613,1200,1600,221.19434355400932,0,[]
110018020012026060030037354,1200,1599,42.81375071994017,4,"[0, 2, 3, 4]"
110018020012026060030041654,1200,1599,97.20438826750448,0,[]
110018020012026060404728734_page01,1240,1753,2686.0689518429235,4,"[0, 3, 5, 2]"
110018020012026060404747216,1200,1600,146.74314474998263,4,"[0, 6, 6, 7]"
110018020012026060404758978,1200,1600,157.70146089935304,0,[]
110018020012026060404805695,1200,1600,1197.7244763651233,0,[]
110018020012026060847613673,1600,1200,185.14320882372368,0,[]
110018020012026060847723714,1200,1600,324.86202343667946,2,"[0, 4]"
110018020012026060847724707,1200,1600,928.3225304990234,4,"[0, 5, 1, 3]"
110019903022026050535592303,899,1280,3542.3382430159427,0,[]
110019903022026050556435510,899,1599,258.6305644147053,4,"[0, 4, 2, 7]"
110019903022026050620273067,1599,899,811.8766130483363,3,"[0, 5, 6]"
110019909032026010804483784,900,1292,413.4391001725903,4,"[0, 6, 2, 6]"
110019909032026010839457700,1600,900,49.11949101326389,4,"[0, 2, 3, 6]"
110019910092025012657231374,720,1600,333.99529681592406,0,[]
110019910092025012721552618,720,1600,378.9124528363105,4,"[0, 8, 5, 3]"
110019910092025012808808985,1259,1920,3672.4347487923455,0,[]
110019913122025011814106119,720,1600,317.3953256792165,0,[]
110019913122025011837210421,1600,720,346.10847261642715,4,"[0, 3, 7, 3]"
110019913122025011857848646,878,1280,5970.450766560371,0,[]
110019925032026045116526493,1200,1600,110.84082746857395,4,"[0, 3, 8, 4]"
110019925032026045201581072,1200,1600,332.3675536259112,0,[]
110019925032026045220246566,893,1280,2353.3686021833096,3,"[0, 7, 7]"
110019926082025123929881415,1257,1920,2514.2129938410103,0,[]
110019926082025123955024511,899,1599,454.77532739002453,0,[]
110019926082025124014456915,720,1600,51.41956683533394,4,"[0, 6, 6, 4]"
110019926082025124303743732,899,1599,331.0530476151314,4,"[0, 4, 2, 1]"
110019926082025124343192874,899,1599,218.48942043371665,4,"[0, 2, 6, 3]"
110019926082025124426367315_page01,1240,1755,7225.024436172956,0,[]
110019926082025124426367315_page02,1240,1755,5688.189946695887,1,[0]
110019926082025124939440660,1600,720,560.8032968430235,4,"[0, 6, 6, 2]"
110019926082025124958857188,720,1600,497.46230814161896,4,"[0, 7, 6, 2]"
110019926082025125019604907,1600,720,818.5956752646483,4,"[0, 5, 8, 3]"
110019926082025125038067581,1316,1920,2742.6729927515526,4,"[0, 5, 8, 5]"
110019926082025125320717939,1600,720,381.9671985238715,4,"[0, 2, 8, 2]"
110019926082025125342283234_page01,1240,1755,7305.834178843667,1,[0]
110019926082025125342283234_page02,1240,1755,5690.247506662801,1,[0]
110019926082025125408243057,1599,899,481.7885753996794,4,"[0, 3, 7, 2]"
110020206022026030846503655,1440,1920,778.0330747502311,3,"[0, 5, 5]"
110020206022026031448852219,1440,1920,249.66761787695538,4,"[0, 7, 7, 6]"
110020211022026125501315877,1440,1920,170.59305852305394,0,[]
110021713102025033556872810,720,1280,330.18990665961365,0,[]
110021713102025033556872821,1600,900,120.35062793952498,0,[]
110021713102025033556872836,1280,720,228.74377169234197,4,"[0, 1, 1, 6]"
110021713102025033556873773,1600,900,216.56382637073878,0,[]
110021716092025035358432803,899,1599,193.2145854610039,0,[]
110021716092025040817594503,1080,1034,42.425013427439914,4,"[0, 8, 5, 4]"
110021716092025040817595247,720,1280,100.18007685237463,0,[]
110021726022026022744906836,1600,720,806.7014476507493,4,"[0, 2, 5, 7]"
110023122032026040349105686,899,1599,77.6889080411394,4,"[0, 6, 6, 6]"
110023122032026040349111485,899,1599,168.4666323685362,4,"[0, 5, 3, 3]"
110023122112025090506971401,1151,648,305.25866530048785,4,"[0, 5, 5, 8]"
110023122112025090519332902_page01,1242,1755,3248.950082651248,0,[]
110023208112025122830540793,714,1600,412.4703798988223,4,"[0, 8, 6, 3]"
110025625032026021522214475,900,1600,223.73799204392313,4,"[0, 8, 8, 5]"
110033901122025041654221101,1599,899,1949.27275754103,0,[]
110033921072025035635143401,720,1280,536.6109564377349,0,[]
110033921082025054233003415,716,1600,399.36514492158165,4,"[0, 7, 6, 3]"
110033921082025111144546528,899,1599,234.99097249679784,4,"[0, 7, 8, 7]"
110033921082025112057846272,1200,1600,174.8829232287326,4,"[0, 1, 2, 4]"
110033921082025112207226412,1200,1600,79.90452904416668,4,"[0, 3, 2, 4]"
110033927022026032947186064,1280,960,99.43182931575511,4,"[0, 1, 3, 3]"
110033927022026032948715233,1280,960,966.6209524505397,4,"[0, 4, 1, 3]"
110033927022026032949815184,960,1280,592.3861880458833,4,"[0, 4, 8, 2]"
110033927022026033616152384,960,1280,38.66807124429279,4,"[0, 2, 8, 4]"
110033927022026033618779723,960,1280,398.12728554987837,4,"[0, 3, 6, 2]"
110033927022026033706354937,1280,960,164.5617476168732,4,"[0, 6, 4, 1]"
110034209072025034649011052,720,1280,314.4962152748343,0,[]
110034209072025034856121659,720,1280,201.28735107081732,4,"[0, 8, 2, 2]"
110034701122025033341764565,1280,720,184.0461443908114,4,"[0, 4, 1, 4]"
110034701122025033523329040,1280,720,213.86915491428962,4,"[0, 7, 5, 2]"
110034701122025033651847905,1280,588,208.0054987455618,0,[]
110034701122025034046606357,900,1600,352.4348474000651,4,"[0, 8, 6, 7]"
110034701122025034611891317,1280,588,116.09540574676959,4,"[0, 2, 8, 5]"
110034701122025040717088498,963,1280,699.8531533759854,4,"[0, 2, 1, 4]"
110034701122025040743088345,1080,759,119.82063126308528,4,"[0, 8, 5, 4]"
110034701122025041333666047,960,1280,504.923694443255,0,[]
110034701122025042112775667,720,1600,223.40184450167507,4,"[0, 7, 2, 2]"
110034706122025094416570471,1600,1200,389.0637548872223,4,"[0, 8, 8, 3]"
110034716102025101702611384,1280,720,159.31302949578557,4,"[0, 1, 7, 1]"
110034716102025101905466694,1280,588,217.59475288836856,4,"[0, 7, 3, 6]"
110034716102025103407136091,1280,588,221.30713393412304,4,"[0, 7, 1, 7]"
110034716102025103513223359,1280,588,491.6471387776659,4,"[0, 2, 8, 5]"
110034721082025113732171523,1280,720,636.9934649894609,4,"[0, 5, 5, 6]"
110034721082025113930569023,1280,720,728.9606935614645,4,"[0, 5, 2, 7]"
110034724112025114409581692,1080,1310,84.0448939027378,0,[]
110039120032026082657273349,1170,1625,71.91863918338123,4,"[0, 6, 1, 3]"
110039125032026011034332830,899,1599,202.11317096828438,4,"[0, 8, 2, 1]"
110043604022026033010054815,723,1600,523.8439461202643,4,"[0, 1, 3, 7]"
110043620022026034204576999,723,1600,551.2015064356954,4,"[0, 1, 8, 6]"
110047705082025102007066203_page01,1240,1755,8970.980666298863,0,[]
110047705082025102007066203_page02,1240,1755,5677.733422479361,1,[0]
110047705082025102021001291,1085,1920,129.52470317609175,4,"[0, 7, 7, 3]"
110047706032026114802506296,899,1599,296.800436819356,0,[]
110047707082025101321921161,1920,1080,166.57386669988483,0,[]
110047707082025101507377703_page01,1240,1755,6375.310970498844,1,[0]
110047708102025013800337632,886,1920,52.062504114932935,4,"[0, 3, 5, 1]"
110047718032026043729836874,600,800,280.3260750590234,4,"[0, 4, 6, 5]"
110047719072025044351358921,1920,1085,68.757109238194,4,"[0, 4, 3, 5]"
110047719092025050225144288,1600,900,159.32182294416668,4,"[0, 1, 6, 2]"
110047723072025033121744617,562,193,2162.549813488274,2,"[0, 3]"
110047723072025035306243531,887,1919,2303.4896498716766,2,"[0, 5]"
110047723072025035623157479,349,508,3565.4107610306633,0,[]
110047723072025035850290513,887,1919,1819.666070558543,0,[]
110047723072025040052778858,1123,794,852.1015564193607,1,[0]
110047724072025045202575287,720,1280,280.99734153645835,4,"[0, 1, 4, 6]"
110047730072025013755926607,1920,863,23.21688325894854,2,"[0, 3]"
110047730072025013853730697,796,1114,447.5508453884112,3,"[0, 4, 1]"
110048803112025053923742509,1600,1371,1817.9688301214424,4,"[0, 4, 5, 4]"
110048803112025054052740913,1083,1600,1232.5802473675258,0,[]
110048803112025054218114373,1600,1371,1634.09469894421,4,"[0, 4, 4, 6]"
110049513022026112725588527,1280,960,772.8534849023156,3,"[0, 1, 5]"
110049518072025093614477595,1290,1807,10.250542415060094,4,"[0, 3, 5, 6]"
110049521012026100101589363,780,318,77.21046160093815,4,"[0, 1, 5, 2]"
110049521012026100235071042,758,256,270.9148912691066,4,"[0, 8, 4, 4]"
110049524062025025614204093,1920,864,47.406771326624316,0,[]
110050729082025062703780740,570,1280,2299.478906149261,1,[0]
110051201042026065328203438,864,1920,34.812029759737435,0,[]
110051201042026065749205268,864,1920,273.79452023070496,4,"[0, 5, 3, 4]"
110051201042026070159887598,864,1920,74.92934086677631,0,[]
110051206122025024330020354,1280,579,798.6246518243767,4,"[0, 7, 1, 3]"
110051207012026095649575162,899,1599,1540.5316519972246,1,[0]
110051207012026095900206182,1200,1600,363.10952206873264,4,"[0, 2, 1, 3]"
110051207012026100201678657,1200,1600,354.9503682092446,0,[]
110051207012026100331026436,1200,1600,260.10909739523413,4,"[0, 4, 3, 4]"
110051214082025015416791349,899,1599,102.7963586714926,3,"[0, 2, 8]"
110051215072025034827271367,1200,1600,1128.5539676802073,3,"[0, 8, 8]"
110051215072025035005553433,1200,1600,1042.4196795526732,4,"[0, 7, 1, 6]"
110051215072025035157413829,1200,1600,4882.237226712222,3,"[0, 8, 8]"
110051220112025015817998380,900,1600,87.65165621764999,4,"[0, 8, 6, 7]"
110051221032026023458395751,1600,1200,407.9187364504937,4,"[0, 6, 5, 1]"
110051221032026023801512871,1200,1600,135.44117498358398,4,"[0, 3, 2, 7]"
110052117022026010028275109,800,602,1400.7771888642878,4,"[0, 6, 2, 8]"
110052117022026125456149877,800,1600,365.1722959629095,3,"[0, 8, 4]"
110052117022026125720388874,720,1600,1040.6483233503932,0,[]
110052119092025051202411413,720,1600,37.04352425461757,4,"[0, 3, 7, 2]"
110052901092025021721730690,900,1600,48.116922716905385,3,"[0, 3, 6]"
110052901092025021846251777,720,1280,156.31454317125744,4,"[0, 6, 3, 5]"
110052901092025022621354170,720,1280,169.29956582132502,0,[]
110052912092025094157994058,720,1280,880.9718040587802,3,"[0, 2, 2]"
110052920012026030438820503,1290,713,8.361465854328932,4,"[0, 4, 3, 7]"
110052924032026115957672903,900,1600,433.80288005184997,0,[]
110052924032026120034403145,1600,900,176.78293733439622,0,[]
110052924032026120138439368,1600,900,362.23442847218314,4,"[0, 1, 8, 6]"
110054512092025044009166568,899,1069,144.83488981768315,0,[]
110054512092025044023095785,642,632,229.82655446325023,4,"[0, 8, 4, 8]"
110059501042026043243031576,720,1280,8728.979440492907,1,[0]
110059503102025020905185996,900,1600,785.9441790480246,4,"[0, 4, 7, 8]"
110059503102025020905818441,900,1600,1098.4318311637107,3,"[0, 2, 3]"
110059523032026111903742384,720,1280,991.1086605278285,4,"[0, 3, 8, 2]"
110059807022026105500446590,899,1599,6.559886900544653,0,[]
110059810012026050753934456,720,1280,44.1729751937254,4,"[0, 5, 7, 7]"
110059817012026122532402412,720,1280,89.66486853208072,4,"[0, 8, 8, 6]"
110059817012026122834348533,720,1280,14.661211825616858,0,[]
110059819082025122102917792,899,1599,679.784998914506,4,"[0, 1, 5, 1]"
110059820082025100256923827,1040,780,99.38325925805367,4,"[0, 1, 3, 4]"
110059827012026024246210504,1599,899,72.23985714270098,4,"[0, 6, 1, 5]"
110060030032026125216477430,1600,715,313.97751041224205,3,"[0, 4, 3]"
110060030032026125217228299,715,1600,1204.5708846148682,0,[]
110060030032026125513322826,715,1600,106.05249018509386,0,[]
110060030032026125513724571,1600,715,423.67384614792905,0,[]
110060030032026125632553577,715,1600,113.88446239327031,0,[]
